"","core","TMA.set","Kcross.Cancer2lympho","Kcross.lympho2Cancer","Kcross.Cancer2Stromal","Kcross.Stromal2Cancer","Kcross.Lympho2Stromal","Kcross.Stromal2Lympho","cancer ratio","stromal ratio","lymphocytes ratio","lymphocyte.dens","cancer.dens","stroma.dens","cancer.to.lympho.avgCount","lympho.to.cancer.avgCount","cancer.to.stroma.avgCount","stroma.to.cancer.avgCount","stroma.to.lympho.avgCount","lympho.to.stroma.avgCount","ShannonH","DoC_TL_max","DoC_SL_max","DoC_TL_min","DoC_SL_min","DoC_TL_mean","DoC_SL_mean","DoC_TL_Std","DoC_SL_Std","DoC_LT_max","DoC_ST_max","DoC_LT_min","DoC_ST_min","DoC_LT_mean","DoC_ST_mean","DoC_LT_Std","DoC_ST_Std","DoC_TS_max","DoC_LS_max","DoC_TS_min","DoC_LS_min","DoC_TS_mean","DoC_LS_mean","DoC_TS_Std","DoC_LS_Std","localized_TL","localized_SL","localized_LT","localized_ST","localized_TS","localized_LS"
"int","I-6","963","7601.87237862474","-722.957314492247","8436.90402815305","76.3875703542744","9564.99197007006","1219.54268231253","0.517796610169492","0.0877118644067797","0.394491525423729","8832.91056587025","11593.7880896815","1963.92318704097","69.0902255639098","52.6374795417349","65.3913043478261","11.0769230769231","11.2642320085929","50.6618357487923","1.31851939724064","0.93361238378148","0.936376729078204","-0.869089360419552","-0.781492885368568","-0.00793358707665971","0.072340132763756","0.457578777622418","0.401756674439739","0.939169600351608","0.939482621317104","-0.890793691493905","-0.86149782085036","-0.0178810283758656","0.0476383557733517","0.446962770284177","0.382503390305578","0.922401119111339","0.92506099821321","-0.752860530328488","-0.805026824196201","0.151255339628785","0.120246363180934","0.451996723683122","0.473010262074536","0.0161290322580645","0.0193548387096774","0.0196560196560197","0.00819000819000819","0.0339805825242718","0.0485436893203883"
"int1","I-7","963","7341.17000825459","-1038.60505445851","6066.77047457988","-2348.25790774164","7299.57700821909","-1147.13129776214","0.379742173112339","0.12744014732965","0.492817679558011","12032.0424231441","9271.32715864094","3111.42502123159","55.4566517189836","71.9699321047527","52.9797687861272","17.7798254122211","17.9678624813154","69.4826589595376","1.366748957683","0.940029090696774","0.955073905078651","-0.878637899696778","-0.848033032912078","0.0536738126745711","0.00444871875344137","0.474787034342573","0.427612049033264","0.949137565458112","0.890424443895903","-0.828746247631116","-0.783194216795488","0.10839650360889","-0.0195816694771078","0.470132752007284","0.400093981334368","0.898538749587505","0.927797292696722","-0.808254773759292","-0.86666859581372","-0.0245255313928482","-0.0314368426148583","0.459670027946421","0.500282645147026","0.0336574420344054","0.0388930441286462","0.0475728155339806","0.0378640776699029","0.0115942028985507","0.0318840579710145"
"int2","J-7","963","6546.60910413164","-1853.83510480373","7389.14833990543","-913.206814063582","8420.7704168678","11.9800276787373","0.689828503843879","0.0683027794204613","0.241868716735659","5515.56000368147","15730.8086657566","1557.5725682768","97.4706601466993","34.1753107586798","94.1948051948052","9.32661808829833","9.11491442542787","32.2770562770563","1.11644590783985","0.925315044925415","0.908062868674837","-0.888102769772945","-0.667551200890751","-0.0727270038689116","-0.00192221516532025","0.454728931330378","0.391974342937333","0.918270794231531","0.918521416892408","-0.875384918555596","-0.864975232966818","-0.0913218941782122","-0.00882018411781243","0.399451144764094","0.362694071635096","0.913662776373068","0.858645363759913","-0.844913355991084","-0.762987963504212","0.056106810732062","0.0540014560108697","0.497006822077919","0.442345386221523","0.0134638922888617","0.00979192166462668","0.00771869639794168","0.00686106346483705","0.0391304347826087","0.00434782608695652"
"int3","K-10","963","7221.22360112029","-1177.82249795055","5773.54432072246","-2057.41658228653","6791.69032759138","-1449.60361778404","0.655588380108321","0.0297882816346627","0.314623338257016","8541.40136009764","17797.9278731925","808.692930024894","109.81455399061","52.7003379647015","105.305785123967","4.78482914006759","4.81377151799687","50.8429752066116","1.04385995187646","0.939150710720169","0.947548419032008","-0.906040234227088","-0.740959022803135","0.111581531463708","-0.0379984726812288","0.538223262335265","0.399713361522951","0.941970983124734","0.945417238387231","-0.89077716923041","-0.897432061813162","0.00602118175956015","-0.0687352388809145","0.501656050096341","0.349669133099519","0.910915503364951","0.956110603541333","-0.874426506429124","-0.823287803114594","-0.0145018426791272","-0.0688370546176175","0.522438240738591","0.490221426516182","0.0516836335160532","0.207517619420517","0.0304282494365139","0.164537941397446","0.0333333333333333","0.0416666666666667"
"int4","J-9","963","6744.1257739311","-1199.90589800886","4453.19231986045","-4047.53549430071","12504.2459795499","2829.25941096604","0.511178861788618","0.429878048780488","0.0589430894308943","664.214511279343","5760.34308919844","4844.18514260624","21.3793103448276","2.46520874751491","21.5768321513002","18.1451292246521","18.4310344827586","2.52718676122931","1.19998498902326","0.950003990253967","0.890358060859967","-0.668013549865852","-0.69579474661785","0.0026819415522089","0.17841066154573","0.515856052743301","0.523324717865699","0.934924328712938","0.922246148267422","-0.685207822611789","-0.78229636728121","-0.0517718963205538","0.01904871070339","0.343755097912572","0.410942509773525","0.925057874329213","0.9245641924577","-0.82895965936465","-0.570785748244065","0.0535677115525261","0.021791345555651","0.451703394956025","0.407545483443973","0.0701754385964912","0.0526315789473684","0.207171314741036","0.0896414342629482","0.0213270142180095","0.161137440758294"
"int5","F-9","963","8774.71931600687","292.409822694812","9006.16384077794","660.659487177589","9365.13616464741","1256.8560255928","0.472520530638029","0.0991787744788376","0.428300694883133","10951.1346841124","12081.7828078408","2535.88222036231","63.7455752212389","57.7800802139037","62.1178343949045","13.0387700534759","13.9262536873156","60.140127388535","1.35769122990833","0.952170959073052","0.931492880168748","-0.907473394239322","-0.837879394074623","0.194667413610046","0.134250275749083","0.494280288563982","0.440572942687788","0.950228560354986","0.957193300764386","-0.875856020573229","-0.866937939890166","0.191030871783295","0.0971677391360999","0.489361051916174","0.431010334190305","0.955867898992098","0.924865808625246","-0.835125975577946","-0.813859242811101","0.224412141295254","0.220477912570882","0.494236054278785","0.479738566401318","0.0804428044280443","0.033210332103321","0.0816053511705686","0.0361204013377926","0.0702875399361022","0.0798722044728434"
"int6","G-1","963","6347.56464048184","-1965.15271095448","13266.1779432418","4579.0939380186","8602.0731340464","-1.6033462900532","0.398865784499055","0.258979206049149","0.342155009451796","2366.84799566245","2759.1432435623","1791.481632076","14.8038674033149","12.6990521327014","17.2189781021898","11.1777251184834","8.83977900552486","11.6788321167883","1.46302594637538","0.937691584580223","0.927617842689482","-0.668426104157777","-0.641828825522586","-0.00546846232302009","0.0213699460258209","0.423671876680222","0.412024139889409","0.926375139075061","0.928372153920977","-0.722194825237287","-0.662996644611858","0.00655403674321189","0.125245450878882","0.404626664617915","0.41689524298859","0.916070803021849","0.918708399879188","-0.700952373091814","-0.669481456404803","0.167947343250512","0.050414651932446","0.460882931443827","0.447124460816036","0.0332409972299169","0.0249307479224377","0.0451306413301663","0.0261282660332542","0.0659340659340659","0.0366300366300366"
"int7","F-2","963","6031.07149158092","-2348.991577707","7673.50149373966","-700.364974679287","8852.57662758802","486.342446758594","0.396403895779572","0.0440356280695913","0.559560476150837","33440.0779344232","23689.6237910924","2631.62767439897","186.882326688486","263.808693826123","190.241965973535","21.1346073078538","22.0715560844987","280.455576559546","1.18906080719039","0.947558105864103","0.964656750348147","-0.959805733669338","-0.918854401958791","-0.199407754723313","0.0284914732519019","0.514069168627542","0.429643540872743","0.946612880413104","0.942673133140942","-0.954143162969224","-0.929966931617217","-0.180156397463532","0.0103895220791938","0.53570407054742","0.419644704781264","0.939850758490819","0.967510764402431","-0.919805468555124","-0.927470997954921","0.0418985043729179","0.0313689833139027","0.514882237666851","0.531359909727758","0.0235084064871299","0.0180032733224223","0.0222642302037387","0.0126023944549464","0.0492424242424242","0.0587121212121212"
"int8","B-10","963","6667.7711622435","-1693.02115762157","7481.03496223991","-904.871548672025","6090.22629703599","-2302.30659419394","0.529437229437229","0.1002886002886","0.37027417027417","14328.0914438566","20487.0489117342","3880.75742536258","175.991036632892","123.083401471791","180.117985611511","34.1188334696103","38.1309431021044","140.778417266187","1.30720546390654","0.937570004804048","0.922232065496958","-0.935075441439011","-0.923007121589518","-0.193584498419554","-0.131918352558648","0.532643931727236","0.409750824675127","0.92387999544324","0.930592220707104","-0.942376281879209","-0.911366578128449","-0.133150565464191","-0.0235878694634814","0.483463562570082","0.424879701538071","0.926892084053413","0.927889930929455","-0.914828388391724","-0.938113395941684","-0.0472824128350086","-0.181141390293656","0.505376567478851","0.466103750597228","0.0230019493177388","0.00545808966861598","0.0136314067611778","0.0109051254089422","0.0345821325648415","0.0100864553314121"
"int9","E-6","963","8543.92420336651","143.193140540254","11717.6621275042","3316.52202893462","14012.6724700986","5607.45699781092","0.583857442348008","0.0993186582809224","0.316823899371069","5756.28610614527","10607.9449499517","1804.49332856001","82.0578990901572","44.528276481149","87.9577836411609","14.9622980251347","14.6658395368073","46.7836411609499","1.28433768774694","0.943310141836372","0.94831398117918","-0.863506708050361","-0.813796967564762","0.0685428833770202","0.168878669583401","0.498967053695857","0.422234168600582","0.941379634802828","0.949620105212743","-0.899402347612571","-0.800756824829213","0.040574886490425","0.125687815873188","0.459819988653259","0.401285302777775","0.943950731450279","0.946284108699899","-0.802762645021121","-0.682763664657226","0.179932152758114","0.180194657429543","0.481657593537519","0.449724664903321","0.0471854304635762","0.0355960264900662","0.0336775931746744","0.0237988325101033","0.0714285714285714","0.0661375661375661"
